Bot,Elo,Bot_Type,Depth,Time_Limit,Neural_Gen
Negamax P1,313.55081092670554,Negamax,1.0,,
Negamax P2,698.2615766917529,Negamax,2.0,,
Negamax P4,874.1887198994586,Negamax,4.0,,
Negamax P6,1078.3015123941884,Negamax,6.0,,
Negamax2 P1,215.51426913885697,Negamax2,1.0,,
Negamax2 P2,808.3218974370566,Negamax2,2.0,,
Negamax2 P4,1001.0196846511394,Negamax2,4.0,,
Negamax2 P6,1160.5339094380784,Negamax2,6.0,,
Negamax2 P8,1098.877782574788,Negamax2,8.0,,
Negamax3 P1,265.5971541621037,Negamax3,1.0,,
Negamax3 P2,846.9752969107574,Negamax3,2.0,,
Negamax3 P4,947.1351744802328,Negamax3,4.0,,
Negamax3 P6,1003.2969735963952,Negamax3,6.0,,
Negamax3 P8,1190.6859947574562,Negamax3,8.0,,
Negamax4 P1,271.6249334875558,Negamax4,1.0,,
Negamax4 P2,874.9769460269679,Negamax4,2.0,,
Negamax4 P4,921.5452128494057,Negamax4,4.0,,
Negamax4 P6,1015.5144813913878,Negamax4,6.0,,
Negamax4 P8,1133.8299860264592,Negamax4,8.0,,
Negamax4 P10,1378.6934273994711,Negamax4,10.0,,
Negamax4 P4 T0.01,984.9779060695967,Negamax4,4.0,0.01,
Negamax4 P4 T0.025,1017.9255620848487,Negamax4,4.0,0.025,
Negamax4 P4 T0.1,942.8393822903147,Negamax4,4.0,0.1,
Negamax4 P4 T0.25,1019.1875427238163,Negamax4,4.0,0.25,
Negamax4 P6 T0.01,1080.5463444484637,Negamax4,6.0,0.01,
Negamax4 P6 T0.025,1006.3996836065107,Negamax4,6.0,0.025,
Negamax4 P6 T0.1,955.8532053879396,Negamax4,6.0,0.1,
Negamax4 P6 T0.25,977.9764633391408,Negamax4,6.0,0.25,
Negamax4 P8 T0.01,1122.0109417778801,Negamax4,8.0,0.01,
Negamax4 P8 T0.025,1055.3605987762471,Negamax4,8.0,0.025,
Negamax4 P8 T0.1,1120.7786865932942,Negamax4,8.0,0.1,
Negamax4 P8 T0.25,1061.011401897628,Negamax4,8.0,0.25,
Negamax4 P10 T0.01,1267.5310076955616,Negamax4,10.0,0.01,
Negamax4 P10 T0.025,1226.8156514948826,Negamax4,10.0,0.025,
Negamax4 P10 T0.1,1357.6164201645677,Negamax4,10.0,0.1,
Negamax4 P10 T0.25,1289.9342337813,Negamax4,10.0,0.25,
Negamax5 P1,325.2769333273054,Negamax5,1.0,,
Negamax5 P2,961.570935194203,Negamax5,2.0,,
Negamax5 P4,980.3208378528632,Negamax5,4.0,,
Negamax5 P6,1101.8135671685448,Negamax5,6.0,,
Negamax5 P8,1232.4108142284138,Negamax5,8.0,,
Negamax5 P10,1296.3538146757173,Negamax5,10.0,,
Negamax5 P12,1324.1974835983078,Negamax5,12.0,,
Negamax5 P4 T0.01,1002.6710999943489,Negamax5,4.0,0.01,
Negamax5 P4 T0.025,988.2596648272388,Negamax5,4.0,0.025,
Negamax5 P4 T0.1,1167.9761695254297,Negamax5,4.0,0.1,
Negamax5 P4 T0.25,955.997316485645,Negamax5,4.0,0.25,
Negamax5 P6 T0.01,1197.3986427519455,Negamax5,6.0,0.01,
Negamax5 P6 T0.025,1172.186934955572,Negamax5,6.0,0.025,
Negamax5 P6 T0.1,1123.0831186446912,Negamax5,6.0,0.1,
Negamax5 P6 T0.25,1104.0086579656672,Negamax5,6.0,0.25,
Negamax5 P8 T0.01,1221.5265999061696,Negamax5,8.0,0.01,
Negamax5 P8 T0.025,1121.2796431394315,Negamax5,8.0,0.025,
Negamax5 P8 T0.1,1284.4151147248376,Negamax5,8.0,0.1,
Negamax5 P8 T0.25,1270.4590273175884,Negamax5,8.0,0.25,
Negamax5 P10 T0.01,1238.3139781155433,Negamax5,10.0,0.01,
Negamax5 P10 T0.025,1256.288681233063,Negamax5,10.0,0.025,
Negamax5 P10 T0.1,1225.9105644788428,Negamax5,10.0,0.1,
Negamax5 P10 T0.25,1227.9922109922247,Negamax5,10.0,0.25,
Negamax5 P12 T0.01,1356.772596711605,Negamax5,12.0,0.01,
Negamax5 P12 T0.025,1374.867228729488,Negamax5,12.0,0.025,
Negamax5 P12 T0.1,1245.2949531362183,Negamax5,12.0,0.1,
Negamax5 P12 T0.25,1339.0133329543128,Negamax5,12.0,0.25,
Negamax5B P1,791.8664877216775,Negamax5B,1.0,,
Negamax5B P2,1272.3046839552762,Negamax5B,2.0,,
Negamax5B P4,1397.832976446494,Negamax5B,4.0,,
Negamax5B P6,1523.6839118886837,Negamax5B,6.0,,
Negamax5B P8,1471.5178223834546,Negamax5B,8.0,,
Negamax5B P10,1590.2549007821544,Negamax5B,10.0,,
Negamax5B P12,1583.6539864392007,Negamax5B,12.0,,
Negamax5B P4 T0.01,1425.7256563823648,Negamax5B,4.0,0.01,
Negamax5B P4 T0.025,1353.6838274496574,Negamax5B,4.0,0.025,
Negamax5B P4 T0.1,1436.0795068283778,Negamax5B,4.0,0.1,
Negamax5B P4 T0.25,1427.4264848546447,Negamax5B,4.0,0.25,
Negamax5B P6 T0.01,1525.9907360871075,Negamax5B,6.0,0.01,
Negamax5B P6 T0.025,1505.1251464582147,Negamax5B,6.0,0.025,
Negamax5B P6 T0.1,1452.4690884395732,Negamax5B,6.0,0.1,
Negamax5B P6 T0.25,1508.7628486144731,Negamax5B,6.0,0.25,
Negamax5B P8 T0.01,1435.0097905061489,Negamax5B,8.0,0.01,
Negamax5B P8 T0.025,1414.0658881622167,Negamax5B,8.0,0.025,
Negamax5B P8 T0.1,1526.4966063334914,Negamax5B,8.0,0.1,
Negamax5B P8 T0.25,1462.9977617931354,Negamax5B,8.0,0.25,
Negamax5B P10 T0.01,1510.6155076228627,Negamax5B,10.0,0.01,
Negamax5B P10 T0.025,1537.7302933748315,Negamax5B,10.0,0.025,
Negamax5B P10 T0.1,1558.1666150182955,Negamax5B,10.0,0.1,
Negamax5B P10 T0.25,1669.9468270121151,Negamax5B,10.0,0.25,
Negamax5B P12 T0.01,1582.1673279604674,Negamax5B,12.0,0.01,
Negamax5B P12 T0.025,1600.3773398858102,Negamax5B,12.0,0.025,
Negamax5B P12 T0.1,1624.5348098241852,Negamax5B,12.0,0.1,
Negamax5B P12 T0.25,1683.1463006634658,Negamax5B,12.0,0.25,
Default Bot,545.9724679242544,DefaultBot,,,
Random Bot,63.46186524897419,RandomBot,,,
Neural Bot winner.pkl,351.75501408426464,NeuralBot,,,
Neural Bot winner_gen700.pkl,279.6961344110187,NeuralBot,,,700.0
Neural Bot winner_1gen1000.pkl,286.53094508190054,NeuralBot,,,1000.0
Neural Bot winner_gen200.pkl,506.630462548683,NeuralBot,,,200.0
Neural Bot winner_gen1000.pkl,324.03684515996906,NeuralBot,,,1000.0
Neural Bot winner_1gen1500.pkl,665.4681177703926,NeuralBot,,,1500.0
Neural Bot winner_gen100.pkl,384.63087969588287,NeuralBot,,,100.0
Neural Bot winner_1gen400.pkl,345.21906580889254,NeuralBot,,,400.0
Neural Bot winner_1gen50.pkl,191.78520096272842,NeuralBot,,,50.0
Neural Bot genomes/winner2_gen1200.pkl,786.3187725062944,NeuralBot,,,2.0
Neural Bot genomes/winner3_gen1000.pkl,515.9017027087992,NeuralBot,,,3.0
Neural Bot genomes/winner4_gen300.pkl,437.4441717135777,NeuralBot,,,4.0
Neural Bot genomes/winner_gen100.pkl,210.86468361084394,NeuralBot,,,
Neural Bot genomes/winner5_gen300.pkl,476.86670170924674,NeuralBot,,,5.0
Neural Bot genomes/winner.pkl,276.7151442534067,NeuralBot,,,
Neural Bot genomes/winner6_gen200.pkl,403.68279317476436,NeuralBot,,,6.0
Neural Bot genomes/winner7_gen900.pkl,585.0617548610705,NeuralBot,,,7.0
Neural Bot genomes/winne7.pkl,492.5959621543876,NeuralBot,,,7.0
Neural Bot genomes/winner8_gen300.pkl,348.32705643702025,NeuralBot,,,8.0
Neural Bot genomes/winner8.pkl,373.987001840199,NeuralBot,,,8.0
Neural Bot genomes/winner9_gen800.pkl,508.34791465397586,NeuralBot,,,9.0
Neural Bot genomes/winner3_gen800.pkl,465.20775370703916,NeuralBot,,,3.0
Neural Bot genomes/checkpoint_gen200.pkl,280.4340769398167,NeuralBot,,,
Neural Bot genomes/checkpoint_gen100.pkl,340.5536791367879,NeuralBot,,,
